~~~~~~~~time~~~~~~~~,temperature,humidity,humidex
2018-06-12 9:55,28.3,30.60%,29.3
2018-06-12 9:55,28.3,30.60%,29.3
2018-06-12 9:55,28.3,30.60%,29.3
2018-06-12 9:56,28.3,30.60%,29.3
2018-06-12 9:57,28.3,30.60%,29.3
2018-06-12 9:58,28.3,30.60%,29.3
2018-06-12 9:59,28.3,30.60%,29.3
2018-06-12 10:03,28.4,30.40%,29.4
2018-06-12 10:04,28.4,30.40%,29.4
2018-06-12 10:05,28.4,30.40%,29.4
2018-06-12 10:05,28.4,30.40%,29.4
2018-06-12 10:07,28.4,30.40%,29.4
2018-06-12 10:09,28.4,30.40%,29.4
2018-06-12 10:11,28.4,30.40%,29.4
2018-06-12 10:13,28.4,30.40%,29.4
2018-06-12 10:15,28.4,30.40%,29.4
2018-06-12 10:17,28.4,30.40%,29.4
2018-06-12 10:19,28.4,30.40%,29.4
2018-06-12 10:21,28.4,30.40%,29.4
2018-06-12 10:23,28.4,30.40%,29.4
2018-06-12 10:25,28.4,30.40%,29.4
2018-06-12 10:27,28.4,30.40%,29.4
2018-06-12 10:29,28.4,30.40%,29.4
2018-06-12 10:31,28.4,30.40%,29.4
2018-06-12 10:33,28.4,30.40%,29.4
2018-06-12 10:35,28.4,30.40%,29.4
2018-06-12 10:37,28.4,30.40%,29.4
2018-06-12 10:39,28.4,30.40%,29.4
2018-06-12 10:41,28.4,30.40%,29.4
2018-06-12 10:43,28.4,30.40%,29.4
2018-06-12 10:45,28.4,30.50%,29.4
2018-06-12 11:14,29.2,29.90%,30.4
2018-06-12 11:19,29.2,29.90%,30.4
2018-06-12 11:24,29.2,29.90%,30.4
2018-06-12 11:29,29.2,29.90%,30.4
2018-06-12 11:34,29.2,29.90%,30.4
2018-06-12 11:39,29.2,29.90%,30.4
2018-06-12 11:44,29.2,29.90%,30.4
2018-06-12 11:49,29.2,29.90%,30.4
2018-06-12 11:54,29.2,29.90%,30.4
2018-06-12 11:59,29.2,29.90%,30.4
2018-06-12 12:04,29.2,29.90%,30.4
2018-06-12 12:09,29.2,29.90%,30.4
2018-06-12 12:14,29.2,29.90%,30.4
2018-06-12 12:19,29.2,29.90%,30.4
2018-06-12 12:24,29.2,29.90%,30.4
2018-06-12 12:29,29.2,29.90%,30.4
2018-06-12 12:34,29.2,29.90%,30.4
2018-06-12 12:50,29.2,29.50%,30.3
2018-06-12 12:55,29.2,29.50%,30.3
2018-06-12 13:00,29.2,29.50%,30.3
2018-06-12 13:05,29.2,29.40%,30.3
2018-06-12 13:10,29.2,29.40%,30.3
2018-06-12 13:15,29.2,29.40%,30.3
2018-06-12 13:20,29.2,29.40%,30.3
2018-06-12 13:25,29.2,29.50%,30.3
2018-06-12 13:30,29.2,29.40%,30.3
2018-06-12 13:35,29.2,29.40%,30.3
2018-06-12 13:40,29.2,29.40%,30.3
2018-06-12 13:45,29.2,29.40%,30.3
2018-06-12 13:50,29.7,28.30%,30.7
2018-06-12 13:55,29.7,28.30%,30.7
2018-06-12 14:00,29.7,28.30%,30.7
